"subjId";"day";"clo";"time";"nobs";"sex";"tOut";"tInOp"
"1";"1";"1";0;6.73333333333333;5;"female";20.48765;25.44297261
"2";"2";"1";0;6.68333333333333;5;"female";16.5572972233333;23.162852
"3";"3";"1";1;6.80000000000001;5;"female";14.5410888895;24.5561743816667
"4";"4";"1";0;6.63333333333332;5;"female";20.2196861116667;27.0176256766667
"5";"5";"1";0;6.79999999999999;5;"male";25.2511722216667;28.6137372416667
"6";"6";"1";2;6.78333333333333;4;"female";25.229433332;27.073805934
"7";"7";"1";0;6.38333333333332;5;"female";21.254233335;29.2649924216667
"8";"8";"1";0;6.76666666666667;5;"male";19.6119944433333;25.7956691216667
"9";"9";"1";0;6.75000000000001;5;"female";17.238925;26.3380324883333
"10";"10";"1";2;6.75;5;"female";31.4541833333333;29.21536426
"11";"11";"1";0;6.68333333333333;5;"female";20.383480555;28.1212382516667
"12";"12";"1";0;6.68333333333334;5;"male";18.8527722233333;26.025785555
"13";"13";"1";0;6.61666666666667;5;"male";23.1378083333333;25.1817427033333
"14";"14";"1";0;6.7;5;"female";20.21751111;27.0305521283333
"15";"15";"1";1;6.01666666666666;5;"female";17.175544445;24.5291135933333
"16";"16";"1";0;6.68333333333334;5;"male";19.7751083333333;28.1189792716667
"17";"17";"1";0;6.7;5;"female";20.046330555;27.7998647666667
"18";"18";"1";0;6.66666666666667;5;"male";24.4222744916667;26.47089752
"19";"19";"1";0;6.73333333333332;5;"male";20.2398916666667;28.09004486
"20";"20";"1";0;6.53333333333334;5;"male";20.0026;26.0107184616667
"21";"21";"1";0;6.65000000000001;5;"female";22.9866916666667;27.353261125
"22";"22";"1";0;6.58333333333334;5;"male";20.2794888883333;27.1573495916667
"23";"23";"1";0;6.73333333333333;5;"male";20.031575;25.85451818
"24";"24";"1";0;6.65;5;"male";18.8047361116667;26.0695408883333
"25";"25";"1";0;6.63333333333334;5;"male";20.5197555566667;27.0793244683333
"26";"26";"1";0;6.71666666666667;4;"male";11.9280866666;24.723885714
"27";"27";"1";1;6.71666666666668;5;"female";22.2855972216667;25.719604865
"28";"28";"1";0;6.75000000000001;5;"female";22.958;27.0363307766667
"29";"29";"1";0;6.31666666666667;5;"male";21.297805555;28.6643651433333
"30";"30";"1";0;6.7;5;"female";18.2049777783333;25.607319435
"31";"31";"1";1;6.74999999999999;5;"female";17.7996277783333;25.3901100333333
"32";"32";"1";0;6.66666666666668;5;"male";20.2331777783333;27.1156409716667
"33";"33";"1";0;6.7;5;"male";20.3243611116667;28.159657545
"34";"34";"1";0;6.61666666666666;5;"male";24.6854222216667;25.50694242
"35";"35";"1";0;6.48333333333334;5;"female";19.667858335;28.0100900383333
"36";"36";"1";1;6.66666666666666;4;"male";22.39022;27.314888254
"37";"37";"1";1;6.68333333333333;5;"female";18.1808083333333;26.9966976233333
"38";"38";"1";0;6.6;5;"male";25.6126916666667;27.4262434666667
"39";"39";"1";2;6.63333333333333;5;"female";20.6951188883333;27.097968955
"40";"40";"1";2;6.64999999999999;5;"female";17.39734936;27.1349831816667
"41";"41";"1";0;6.66666666666667;5;"male";25.6656194433333;27.058499195
"42";"42";"1";1;6.53333333333333;5;"female";19.6846527766667;28.0188834783333
"43";"43";"1";0;6.68333333333334;5;"male";29.10895;26.9580956716667
"44";"44";"1";2;6.76666666666667;5;"male";17.2463888883333;26.3394321116667
"45";"45";"1";0;6.68333333333334;5;"male";24.2543638883333;26.7944539933333
"46";"46";"1";2;6.58333333333334;5;"female";19.2051499983333;26.9753605716667
"47";"47";"1";1;6.45000000000001;5;"female";26.1843833333333;28.7036115133333
"48";"1";"2";0;6.6;5;"female";17.7126666683333;26.0005987166667
"49";"2";"2";2;6.56666666666667;5;"female";17.8449;24.8433870266667
"50";"3";"2";2;6.73333333333333;5;"female";16.19005;26.1539980316667
"51";"4";"2";0;6.58333333333333;5;"female";24.2929527766667;26.9207322816667
"52";"5";"2";0;6.73333333333334;5;"male";19.5215055566667;27.3001114216667
"53";"6";"2";2;6.73333333333334;5;"female";31.4762666683333;29.2446256833333
"54";"7";"2";1;6.78333333333334;5;"female";24.3228416666667;28.1343608016667
"55";"8";"2";0;6.8;5;"male";18.632305555;25.6915838416667
"56";"9";"2";1;6.68333333333334;5;"female";18.9067666666667;26.7471164483333
"57";"10";"2";0;6.8;5;"female";29.021355555;29.5165350266667
"58";"11";"2";2;6.60000000000001;5;"female";15.6990638883333;25.9271503016667
"59";"12";"2";0;5.36666666666667;4;"male";25.4819;26.20384731
"60";"13";"2";0;6.23333333333333;5;"male";21.5928777766667;26.7866078733333
"61";"14";"2";3;6.65;5;"female";24.2566361116667;26.891607565
"62";"15";"2";0;6.86666666666666;5;"female";15.6401666666667;26.6487995133333
"63";"16";"2";1;6.76666666666667;5;"male";23.4729166666667;28.6448338366667
"64";"17";"2";0;6.61666666666667;5;"female";26.1356611116667;28.5886222833333
"65";"18";"2";0;5.45;4;"male";23.604356666;26.313288608
"66";"19";"2";0;6.76666666666667;5;"male";13.8612111116667;27.4281182883333
"67";"20";"2";0;6.73333333333333;4;"male";23.57976;25.85788745
"68";"21";"2";0;6.66666666666667;5;"female";21.9573222216667;26.6832382133333
"69";"22";"2";0;6.78333333333333;5;"male";22.8949583333333;26.9964352483333
"70";"23";"2";0;6.78333333333334;5;"male";17.162275;26.657232455
"71";"24";"2";0;6.76666666666666;5;"male";22.2211722216667;27.026314785
"72";"25";"2";0;6.7;5;"male";17.2534833333333;26.5955523066667
"73";"26";"2";0;2.9;2;"male";14.1003611133333;23.4070860733333
"74";"27";"2";1;6.73333333333333;5;"female";17.819583335;26.3689285366667
"75";"28";"2";2;6.51666666666666;5;"female";22.3472;26.418203235
"76";"29";"2";0;6.69999999999999;5;"male";24.384866665;28.0508201966667
"77";"30";"2";0;6.81666666666667;5;"female";19.721169445;26.6476584416667
"78";"31";"2";2;6.73333333333333;5;"female";17.812883335;26.0650825233333
"79";"32";"2";0;6.78333333333333;5;"male";22.8497694433333;27.2591746216667
