"subjId","day","clo","tOut","tInOp","sex"
11,1,0.71,20.48765,25.44297261,"female"
17,1,0.65,16.5572972233333,23.162852,"female"
19,1,0.87,14.5410888895,24.5561743816667,"female"
29,1,0.56,20.2196861116667,27.0176256766667,"female"
35,1,0.34,25.2511722216667,28.6137372416667,"male"
43,1,0.79,25.229433332,27.073805934,"female"
47,1,0.47,21.254233335,29.2649924216667,"female"
49,1,0.65,19.6119944433333,25.7956691216667,"male"
51,1,0.68,17.238925,26.3380324883333,"female"
55,1,0.398333333333333,31.4541833333333,29.21536426,"female"
57,1,0.39,20.383480555,28.1212382516667,"female"
59,1,0.63,18.8527722233333,26.025785555,"male"
61,1,0.59,23.1378083333333,25.1817427033333,"male"
63,1,0.5,20.21751111,27.0305521283333,"female"
65,1,0.776666666666667,17.175544445,24.5291135933333,"female"
69,1,0.48,19.7751083333333,28.1189792716667,"male"
71,1,0.56,20.046330555,27.7998647666667,"female"
75,1,0.34,24.4222744916667,26.47089752,"male"
85,1,0.55,20.2398916666667,28.09004486,"male"
87,1,0.53,20.0026,26.0107184616667,"male"
89,1,0.62,22.9866916666667,27.353261125,"female"
91,1,0.84,20.2794888883333,27.1573495916667,"male"
93,1,0.55,20.031575,25.85451818,"male"
99,1,0.54,18.8047361116667,26.0695408883333,"male"
105,1,0.48,20.5197555566667,27.0793244683333,"male"
107,1,0.52,11.9280866666,24.723885714,"male"
111,1,0.603333333333333,22.2855972216667,25.719604865,"female"
113,1,0.3,22.958,27.0363307766667,"female"
119,1,0.51,21.297805555,28.6643651433333,"male"
123,1,0.91,18.2049777783333,25.607319435,"female"
125,1,0.74,17.7996277783333,25.3901100333333,"female"
127,1,0.56,20.2331777783333,27.1156409716667,"male"
129,1,0.52,20.3243611116667,28.159657545,"male"
137,1,0.51,24.6854222216667,25.50694242,"male"
141,1,0.67,19.667858335,28.0100900383333,"female"
145,1,0.582,22.39022,27.314888254,"male"
149,1,0.718333333333333,18.1808083333333,26.9966976233333,"female"
153,1,0.34,25.6126916666667,27.4262434666667,"male"
157,1,0.46,20.6951188883333,27.097968955,"female"
167,1,0.448333333333333,17.39734936,27.1349831816667,"female"
171,1,0.51,25.6656194433333,27.058499195,"male"
173,1,0.54,19.6846527766667,28.0188834783333,"female"
183,1,0.48,29.10895,26.9580956716667,"male"
187,1,0.576666666666667,17.2463888883333,26.3394321116667,"male"
189,1,0.51,24.2543638883333,26.7944539933333,"male"
193,1,0.575,19.2051499983333,26.9753605716667,"female"
199,1,0.716666666666667,26.1843833333333,28.7036115133333,"female"
11,2,0.81,17.7126666683333,26.0005987166667,"female"
17,2,0.733333333333333,17.8449,24.8433870266667,"female"
19,2,0.883333333333333,16.19005,26.1539980316667,"female"
29,2,0.56,24.2929527766667,26.9207322816667,"female"
35,2,0.34,19.5215055566667,27.3001114216667,"male"
43,2,0.3,31.4762666683333,29.2446256833333,"female"
47,2,0.646666666666667,24.3228416666667,28.1343608016667,"female"
49,2,0.56,18.632305555,25.6915838416667,"male"
51,2,0.685,18.9067666666667,26.7471164483333,"female"
55,2,0.34,29.021355555,29.5165350266667,"female"
57,2,0.45,15.6990638883333,25.9271503016667,"female"
59,2,0.52,25.4819,26.20384731,"male"
61,2,0.54,21.5928777766667,26.7866078733333,"male"
63,2,0.645,24.2566361116667,26.891607565,"female"
65,2,0.68,15.6401666666667,26.6487995133333,"female"
69,2,0.446666666666667,23.4729166666667,28.6448338366667,"male"
71,2,0.46,26.1356611116667,28.5886222833333,"female"
75,2,0.34,23.604356666,26.313288608,"male"
85,2,0.55,13.8612111116667,27.4281182883333,"male"
87,2,0.56,23.57976,25.85788745,"male"
89,2,0.57,21.9573222216667,26.6832382133333,"female"
91,2,0.56,22.8949583333333,26.9964352483333,"male"
93,2,0.47,17.162275,26.657232455,"male"
99,2,0.52,22.2211722216667,27.026314785,"male"
105,2,0.51,17.2534833333333,26.5955523066667,"male"
107,2,0.52,14.1003611133333,23.4070860733333,"male"
111,2,0.64,17.819583335,26.3689285366667,"female"
113,2,0.296666666666667,22.3472,26.418203235,"female"
119,2,0.5,24.384866665,28.0508201966667,"male"
123,2,0.83,19.721169445,26.6476584416667,"female"
125,2,0.693333333333333,17.812883335,26.0650825233333,"female"
127,2,0.59,22.8497694433333,27.2591746216667,"male"
129,2,0.49,13.8497333333333,27.4732802533333,"male"
137,2,0.466666666666667,27.006533335,24.5641437433333,"male"
141,2,0.596666666666667,23.5252277783333,28.6923333083333,"female"
145,2,0.556666666666667,22.8525777783333,24.5611889516667,"male"
149,2,0.96,19.6176611116667,25.8691435733333,"female"
153,2,0.59,19.440094445,27.3313639733333,"male"
157,2,0.82,17.23935,26.5987920366667,"female"
167,2,0.3,29.75765,27.2350027066667,"female"
171,2,0.503333333333333,18.8274861116667,24.454828865,"male"
173,2,0.42,23.4702333333333,28.70923633,"female"
183,2,0.48,28.03813611,29.5263045966667,"male"
187,2,0.583333333333333,18.9407833333333,26.7470361316667,"male"
189,2,0.57,22.3441916666667,26.3853442766667,"male"
193,2,0.683333333333333,23.1219638883333,26.46264693,"female"
199,2,0.3,26.950119445,27.3055728333333,"female"
11,3,0.68,19.2781999983333,25.5657670166667,"female"
17,3,0.53,26.161916665,26.8237018383333,"female"
19,3,0.686666666666667,18.35086111,25.0093080533333,"female"
29,3,0.63,24.0183166683333,26.37070072,"female"
35,3,0.34,23.57526389,27.5752713066667,"male"
43,3,0.646666666666667,29.0966472233333,29.5539744883333,"female"
47,3,0.39,27.4464888883333,28.1362729566667,"female"
